"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",0.0437146993486683,-0.14158739762936,0.229016796326696,0.112366397794392,0.474843338879943,0.637141961040363,0.999894227787678,-4.74700290301073,0.0437146993486683,0.637141961040363,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",-0.030815507648494,-0.35380417368153,0.292173158384542,0.130054851883369,-0.19203714118446,0.848557058916758,0.999894227787678,-4.77702699836354,-0.030815507648494,0.848557058916758,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",-0.0260864450923707,-0.338076973230085,0.285904083045343,-0.269928481379251,-0.168297118031166,0.867086212133778,0.999894227787678,-4.77839373073748,-0.0260864450923707,0.867086212133778,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","ns"
"Cer_06",0.0325829879720149,-0.228927095933493,0.294093071877523,0.309398754781816,0.250787367291949,0.803093635066307,0.999894227787678,-4.77287302836586,0.0325829879720149,0.803093635066307,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","ns"
"Cer_07",0.00159720111219047,-0.29185032661778,0.295044728842161,-0.462726684165012,0.0109555033821606,0.991306251963733,0.999894227787678,-4.78290291580336,0.00159720111219047,0.991306251963733,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","ns"
"Cer_09",-0.0396093457808827,-0.337013496653603,0.257794805091837,-0.478476176725556,-0.268073467502552,0.78983941262689,0.999894227787678,-4.77144185512271,-0.0396093457808827,0.78983941262689,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",-0.0029935901500594,-0.262348482221055,0.256361301920936,-0.228841464047649,-0.023232774932277,0.981564931420207,0.999894227787678,-4.78283577463722,-0.0029935901500594,0.981564931420207,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"Cer_12",0.0201968526809259,-0.248496044388047,0.288889749749899,0.0604297095657884,0.151297133545922,0.880401889112943,0.999894227787678,-4.77926200198689,0.0201968526809259,0.880401889112943,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",-0.0578684665532934,-0.350038839905093,0.234301906798507,0.219987064844563,-0.398665805679421,0.69198123960824,0.999894227787678,-4.75757250768228,-0.0578684665532934,0.69198123960824,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",0.0928739718238981,-0.303080072229098,0.488828015876894,0.983870893792072,0.472120027994715,0.639069767986284,0.999894227787678,-4.74741205820105,0.0928739718238981,0.639069767986284,0.999894227787678,"HIPE","Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
