"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",-0.137238123903873,-0.304208410667441,0.0297321628596948,0.204096291625859,-1.68706153041678,0.103200286548392,0.449231437952085,-5.09201433681061,-0.137238123903873,0.103200286548392,0.449231437952085,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",-0.168123169146584,-0.378756437422383,0.0425100991292142,0.204027920915534,-1.63830948062522,0.113047505605793,0.468339666081141,-5.16621917282214,-0.168123169146584,0.113047505605793,0.468339666081141,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",-0.235569749286207,-0.440447542810411,-0.0306919557620039,-0.161773437314872,-2.36004331849419,0.0258145375495196,0.204169524255291,-3.90412110451236,-0.235569749286207,0.0258145375495196,0.204169524255291,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","Sphingolipids"
"Cer_06",-0.134692001998614,-0.372484504228653,0.103100500231425,0.400172852041429,-1.16262322481175,0.255232088231585,0.651253952866102,-5.79241451904653,-0.134692001998614,0.255232088231585,0.651253952866102,"HIPE","Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","ns"
"Cer_07",-0.244031270675125,-0.468686510419951,-0.0193760309302982,-0.334119401557775,-2.22958622244649,0.0343537782946826,0.23958587105802,-4.15621142852858,-0.244031270675125,0.0343537782946826,0.23958587105802,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","Sphingolipids"
"Cer_09",-0.201827156463796,-0.409612123329453,0.00595781040186119,-0.39405970346018,-1.99370464702678,0.0564540632549893,0.342090984877003,-4.58666525943073,-0.201827156463796,0.0564540632549893,0.342090984877003,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",-0.232897988625406,-0.444718997652479,-0.021076979598333,-0.107174758016199,-2.2567946748587,0.03238623194401,0.234800181594073,-4.1044232457748,-0.232897988625406,0.03238623194401,0.234800181594073,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","Sphingolipids"
"Cer_12",-0.230026246934838,-0.472465609704729,0.0124131158350519,0.19399524992977,-1.94746473802508,0.062027970296916,0.359762227722113,-4.66695815336483,-0.230026246934838,0.062027970296916,0.359762227722113,"HIPE","Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",-0.146288774668333,-0.354146910255759,0.0615693609190922,0.268225460482748,-1.44457241590331,0.160170238622691,0.51610410222867,-5.44326071512034,-0.146288774668333,0.160170238622691,0.51610410222867,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",-0.26152041394255,-0.579767508124024,0.0567266802389236,1.15865068228996,-1.68669474199721,0.103271594931514,0.449231437952085,-5.09257916459703,-0.26152041394255,0.103271594931514,0.449231437952085,"HIPE","Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
"Cer_15",-0.229764072681855,-0.491203826508221,0.0316756811445112,-0.0983199115667287,-1.80387250010254,0.0825052095596299,0.406299239529498,-4.9071923728816,-0.229764072681855,0.0825052095596299,0.406299239529498,"HIPE","Sphingolipids","Ceramides","Cer(d18:1/25:0)","HMDB04957","C00195","Sphingolipids","ns"
"Cho_01",0.0106780510845326,-0.104798177308734,0.1261542794778,-0.0124289654780821,0.189799361217802,0.850896760764154,0.982301269237423,-6.44132068671192,0.0106780510845326,0.850896760764154,0.982301269237423,"HIPE","Sterols","Cholesterol and derivatives","Cholesterol","HMDB00067","C00187","Sterols","ns"
"ChoE_03",-0.0956968789303214,-0.284219423463998,0.0928256656033554,-0.0285366761923293,-1.04190908282952,0.306763179376553,0.718788861038353,-5.9211244358704,-0.0956968789303214,0.306763179376553,0.718788861038353,"HIPE","Sterols","Cholesteryl Ester","ChoE(16:0)","HMDB00885","C11251","Sterols","ns"
"ChoE_04",-0.00297769295877076,-0.348294234108374,0.342338848190833,0.0387493085504469,-0.0176993727179039,0.986009808223086,0.999086515745761,-6.45938482689694,-0.00297769295877076,0.986009808223086,0.999086515745761,"HIPE","Sterols","Cholesteryl Ester","ChoE(16:1)","HMDB00658","C02530","Sterols","ns"
"ChoE_06",-0.206227449437154,-0.442470510984996,0.0300156121106878,0.305066068881473,-1.79177202419671,0.0844700075552514,0.408271703183715,-4.92678929297578,-0.206227449437154,0.0844700075552514,0.408271703183715,"HIPE","Sterols","Cholesteryl Ester","ChoE(18:0)","HMDB10368","C02530","Sterols","ns"
