"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",0.106428289985164,-0.0364308228274991,0.249287402797826,0.203666254513566,1.52287772892985,0.138491529080081,0.308942641794028,-4.84296943247706,0.106428289985164,0.138491529080081,0.308942641794028,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",0.160169774991862,-0.0312964078704941,0.351635957854219,0.0921491135050016,1.71003258591853,0.0978124245797592,0.277254083483343,-4.57814226767456,0.160169774991862,0.0978124245797592,0.277254083483343,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",0.162058463895575,-0.0214817456590577,0.345598673450208,-0.264001555840899,1.804913506009,0.0813573540271226,0.273501298499019,-4.43445062899213,0.162058463895575,0.0813573540271226,0.273501298499019,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","ns"
"Cer_06",0.216292852590642,0.0162604355493379,0.416325269631947,0.400561241033967,2.21033288771885,0.0350283645289217,0.273501298499019,-3.75513485976563,0.216292852590642,0.0350283645289217,0.273501298499019,"PLUS","Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","Sphingolipids"
"Cer_07",0.198480944904781,-0.0018126177121516,0.398774507521714,-0.389520764649274,2.02566548049473,0.0519751699708471,0.273501298499019,-4.07711118507026,0.198480944904781,0.0519751699708471,0.273501298499019,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","ns"
"Cer_09",0.181674387582136,-0.0142183340435512,0.377567109207824,-0.490767947243766,1.8957946994456,0.0678715863275931,0.273501298499019,-4.29113987555434,0.181674387582136,0.0678715863275931,0.273501298499019,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",0.150195012800964,-0.0284259247110606,0.328815950312988,-0.106594885200362,1.7188542316439,0.0961726718696682,0.277254083483343,-4.56504359429128,0.150195012800964,0.0961726718696682,0.277254083483343,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"Cer_12",0.131272714685523,-0.0736106915049721,0.336156120876018,0.240375774053256,1.309735444434,0.200444504647752,0.367340426330769,-5.11271419635926,0.131272714685523,0.200444504647752,0.367340426330769,"PLUS","Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",0.0605018129250539,-0.148474461300921,0.269478087151028,0.241844223267949,0.591816823053998,0.55850453164218,0.644998596277031,-5.74401443087986,0.0605018129250539,0.55850453164218,0.644998596277031,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",0.139987663972622,-0.199109548729967,0.479084876675212,1.05511156028591,0.84422951786211,0.405434774488888,0.521958415897316,-5.57333396854044,0.139987663972622,0.405434774488888,0.521958415897316,"PLUS","Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
"Cer_15",0.118254883618039,-0.106922183210997,0.343431950447075,1.47542513028957e-05,1.07352169905399,0.291783816363227,0.436789621579007,-5.36936434182635,0.118254883618039,0.291783816363227,0.436789621579007,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/25:0)","HMDB04957","C00195","Sphingolipids","ns"
"Cho_01",0.0692545999575224,-0.027133930294426,0.165643130209471,-0.000538027513743899,1.46872053403624,0.152545220037492,0.324127142881789,-4.91480856675551,0.0692545999575224,0.152545220037492,0.324127142881789,"PLUS","Sterols","Cholesterol and derivatives","Cholesterol","HMDB00067","C00187","Sterols","ns"
"ChoE_03",0.119557802983536,-0.0426417779279452,0.281757383895017,-0.0375798548567265,1.50676005367215,0.142560088172084,0.3115368238621,-4.86457952278554,0.119557802983536,0.142560088172084,0.3115368238621,"PLUS","Sterols","Cholesteryl Ester","ChoE(16:0)","HMDB00885","C11251","Sterols","ns"
"ChoE_04",0.050318392183337,-0.190713913333842,0.291350697700516,-0.093939490195487,0.426743977463138,0.67267967555466,0.752207004984695,-5.82391515138777,0.050318392183337,0.67267967555466,0.752207004984695,"PLUS","Sterols","Cholesteryl Ester","ChoE(16:1)","HMDB00658","C02530","Sterols","ns"
"ChoE_06",0.17568811940549,-0.0120853780988583,0.363461616909839,0.268567213022825,1.91259932610576,0.0656017898216819,0.273501298499019,-4.26404847838436,0.17568811940549,0.0656017898216819,0.273501298499019,"PLUS","Sterols","Cholesteryl Ester","ChoE(18:0)","HMDB10368","C02530","Sterols","ns"
"ChoE_09",0.116400932655749,-0.0930292306683118,0.325831095979809,-0.822214665265947,1.13614334413454,0.265088164032798,0.414299465943475,-5.30581156656501,0.116400932655749,0.265088164032798,0.414299465943475,"PLUS","Sterols","Cholesteryl Ester","ChoE(18:3)","HMDB10370","C02530","Sterols","ns"
"ChoE_11",0.0708441611960623,-0.221347563060817,0.363035885452941,-0.307026021692716,0.495696143197372,0.623812543076788,0.704827159060787,-5.793620972481,0.0708441611960623,0.623812543076788,0.704827159060787,"PLUS","Sterols","Cholesteryl Ester","ChoE(20:3)","HMDB10373",NA,"Sterols","ns"
"ChoE_14",0.307380006142243,0.0679865451413662,0.54677346714312,-0.308714603320738,2.62469734121184,0.0136282698807249,0.26959282638224,-2.96556975888522,0.307380006142243,0.0136282698807249,0.26959282638224,"PLUS","Sterols","Cholesteryl Ester","ChoE(22:4)","HMDB06729","C02530","Sterols","Sterols"
"ChoE_15",0.142083546817712,-0.0764322379964431,0.360599331631868,-0.123533898664869,1.32915881352212,0.194035272780984,0.367340426330769,-5.08959554582967,0.142083546817712,0.194035272780984,0.367340426330769,"PLUS","Sterols","Cholesteryl Ester","ChoE(22:5)","HMDB10375",NA,"Sterols","ns"
"ChoE_18",0.0626165594506924,-0.173622287520157,0.298855406421542,-0.369051147077977,0.541818446456338,0.592033266157992,0.678150636965435,-5.77089513056596,0.0626165594506924,0.592033266157992,0.678150636965435,"PLUS","Sterols","Cholesteryl Ester","ChoE(17:1)",NA,NA,"Sterols","ns"
"CMH_01",0.199379755356279,0.030957859019865,0.367801651692694,-0.179391991350756,2.41990549499113,0.0219384302025859,0.26959282638224,-3.36662443649232,0.199379755356279,0.0219384302025859,0.26959282638224,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/16:0)","HMDB04971","C01190","Sphingolipids","Sphingolipids"
"CMH_02",0.288121472248312,0.0312321566503503,0.545010787846274,-0.293521421731283,2.2926907748146,0.0292162760465238,0.273501298499019,-3.60526009207515,0.288121472248312,0.0292162760465238,0.273501298499019,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/22:0)","HMDB04974","C01190","Sphingolipids","Sphingolipids"
"CMH_03",0.258238404339383,0.0106873156445813,0.505789493034185,-0.773497023597919,2.13241578562074,0.041461329658035,0.273501298499019,-3.8934233814955,0.258238404339383,0.041461329658035,0.273501298499019,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/24:0)","HMDB04978",NA,"Sphingolipids","Sphingolipids"
"CMH_09",0.313445221399198,0.0565069131698024,0.570383529628594,0.0797914998424526,2.49372576778855,0.0185167394087472,0.26959282638224,-3.22437233830729,0.313445221399198,0.0185167394087472,0.26959282638224,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/23:0)",NA,NA,"Sphingolipids","Sphingolipids"
"DAPC03",0.128099540962818,-0.0188373282424421,0.275036410168078,-0.00878874923997692,1.78210254877927,0.0850814500693765,0.273501298499019,-4.46955754325674,0.128099540962818,0.0850814500693765,0.273501298499019,"PLUS","Glycerophospholipids","Diacylglycerophosphocholine","PC(16:0/16:0)","HMDB00564","C00157","Glycerophospholipids","ns"
"DAPC04",0.0349347305866028,-0.176477120669116,0.246346581842322,1.18281942660297,0.337787807107039,0.737927097249125,0.802495718258423,-5.85637295205953,0.0349347305866028,0.737927097249125,0.802495718258423,"PLUS","Glycerophospholipids","Diacylglycerophosphocholine","PC(32:1)",NA,NA,"Glycerophospholipids","ns"
"DAPC05",0.245304116055596,0.0218626754680055,0.468745556643187,1.10391103954105,2.24417651212542,0.0325245664789254,0.273501298499019,-3.69399866019008,0.245304116055596,0.0325245664789254,0.273501298499019,"PLUS","Glycerophospholipids","Diacylglycerophosphocholine","PC(14:0/18:2)","HMDB07874","C00157","Glycerophospholipids","Glycerophospholipids"
"DAPC06",0.177894812651084,0.025101232803212,0.330688392498956,-0.67489403583403,2.3799842228166,0.024021189968111,0.26959282638224,-3.44241564107389,0.177894812651084,0.024021189968111,0.26959282638224,"PLUS","Glycerophospholipids","Diacylglycerophosphocholine","PC(16:0/18:0)","HMDB07970","C00157","Glycerophospholipids","Glycerophospholipids"
