"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",0.114453093716892,-0.071235317812235,0.300141505246019,0.148397822773674,1.23963480967461,0.221200035557698,0.997533798420066,-4.5436927064103,0.114453093716892,0.221200035557698,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",0.104814420922373,-0.183277218030735,0.392906059875482,0.197489044052715,0.731714081166367,0.467937820113266,0.997533798420066,-4.69931153816486,0.104814420922373,0.467937820113266,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",0.104845762404965,-0.195453998140656,0.405145522950586,-0.200265991223227,0.702177523820285,0.485995143964725,0.997533798420066,-4.70601453116928,0.104845762404965,0.485995143964725,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","ns"
"Cer_06",0.0884987197073273,-0.192090645097353,0.369088084512008,0.343005879297161,0.634332276039972,0.528907280951108,0.997533798420066,-4.72039919389743,0.0884987197073273,0.528907280951108,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","ns"
"Cer_07",0.146085999977403,-0.141483959644165,0.43365595959897,-0.389342414885016,1.02168286320612,0.312106387588046,0.997533798420066,-4.61961454705605,0.146085999977403,0.312106387588046,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","ns"
"Cer_09",0.0718559833523035,-0.207053215444357,0.350765182148964,-0.420720379784732,0.518144779341258,0.606762429479578,0.997533798420066,-4.74172556557843,0.0718559833523035,0.606762429479578,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",0.102653070971583,-0.160237895924466,0.365544037867632,-0.173812165295258,0.785321179611244,0.436164921155491,0.997533798420066,-4.68646849709702,0.102653070971583,0.436164921155491,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"Cer_12",0.17128370433508,-0.11759447767299,0.46016188634315,0.140456887463204,1.19248337284179,0.238994834492554,0.997533798420066,-4.56124268831764,0.17128370433508,0.238994834492554,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",0.0788058592732098,-0.215450738875271,0.373062457421691,0.288103940282838,0.538621055539274,0.592663699954888,0.997533798420066,-4.73827242709646,0.0788058592732098,0.592663699954888,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",0.150826210505346,-0.228327780533761,0.529980201544452,1.00204927193107,0.800049010797134,0.427667046317455,0.997533798420066,-4.68278749809606,0.150826210505346,0.427667046317455,0.997533798420066,"LIPE","Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
