"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","Group","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",0.162913505348357,-0.0117287043371531,0.337555715033867,0.180676970878243,1.87420150387164,0.0668188655358002,0.425359119630338,-4.06034289251421,0.162913505348357,0.0668188655358002,0.425359119630338,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",0.016447393915938,-0.295977188092383,0.328871975924259,0.158237737580537,0.105769465060144,0.916193323912858,0.971562080108057,-5.49467499379089,0.016447393915938,0.916193323912858,0.971562080108057,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",0.0677302051223556,-0.217668940436451,0.353129350681162,-0.2172972122769,0.476802071667086,0.635604224236403,0.79374498816125,-5.40273947884916,0.0677302051223556,0.635604224236403,0.79374498816125,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","ns"
"Cer_06",0.206911493904442,-0.0585990533059981,0.472422041114883,0.407747047200885,1.56570972808971,0.123796634498543,0.472376128296837,-4.48304647351113,0.206911493904442,0.123796634498543,0.472376128296837,"PLUS","Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","ns"
"Cer_07",0.167036934463734,-0.105059256762972,0.43913312569044,-0.370933764804455,1.23338442471644,0.223265302266065,0.516912341872507,-4.86198948899152,0.167036934463734,0.223265302266065,0.516912341872507,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","ns"
"Cer_09",0.0567730328562062,-0.226169139466443,0.339715205178856,-0.427115830856909,0.403137151671361,0.688585767722695,0.835911094770341,-5.43026040578437,0.0567730328562062,0.688585767722695,0.835911094770341,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",0.183280360031429,-0.0700402551855422,0.4366009752484,-0.122656459548877,1.45362976321367,0.152368811079943,0.479135658938134,-4.61997862105019,0.183280360031429,0.152368811079943,0.479135658938134,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"Cer_12",0.230243987859048,-0.0263437701097642,0.48683174582786,0.186663737808618,1.80285491470104,0.077508685252803,0.428207013526373,-4.16391331976855,0.230243987859048,0.077508685252803,0.428207013526373,"PLUS","Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",0.0136877978276355,-0.281346871904949,0.30872246756022,0.260898525102179,0.0932113805007871,0.926112409144026,0.971562080108057,-5.49574054042592,0.0136877978276355,0.926112409144026,0.971562080108057,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",0.195448931975666,-0.169263029101067,0.560160893052398,1.04013337343136,1.07672202681973,0.286837107032714,0.539827235652027,-5.01160765743376,0.195448931975666,0.286837107032714,0.539827235652027,"PLUS","Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
"Cer_15",0.181616786023344,-0.0877948808104014,0.451028452857089,-0.0220501276328687,1.35440328507962,0.181766765958414,0.510119633496194,-4.73351486021615,0.181616786023344,0.181766765958414,0.510119633496194,"PLUS","Sphingolipids","Ceramides","Cer(d18:1/25:0)","HMDB04957","C00195","Sphingolipids","ns"
"Cho_01",0.0856156746025701,-0.0133305277338832,0.184561876939023,-0.00113813401748819,1.73845144070706,0.0883571534040731,0.430604332185309,-4.25444595946862,0.0856156746025701,0.0883571534040731,0.430604332185309,"PLUS","Sterols","Cholesterol and derivatives","Cholesterol","HMDB00067","C00187","Sterols","ns"
"ChoE_03",0.213976533831413,0.0139923088332179,0.413960758829607,-0.070206731334699,2.14970477065181,0.0364981801930614,0.313671356872727,-3.62924183985973,0.213976533831413,0.0364981801930614,0.313671356872727,"PLUS","Sterols","Cholesteryl Ester","ChoE(16:0)","HMDB00885","C11251","Sterols","Sterols"
"ChoE_04",0.0379721780043023,-0.314655438824163,0.390599794832768,-0.0963777125879863,0.216350347665007,0.829605041897737,0.929300068391886,-5.47949259230736,0.0379721780043023,0.829605041897737,0.929300068391886,"PLUS","Sterols","Cholesteryl Ester","ChoE(16:1)","HMDB00658","C02530","Sterols","ns"
"ChoE_06",0.0631047667404547,-0.158952513076295,0.285162046557205,0.322281583174982,0.570959839568474,0.570613635116809,0.748392757615513,-5.36093371126288,0.0631047667404547,0.570613635116809,0.748392757615513,"PLUS","Sterols","Cholesteryl Ester","ChoE(18:0)","HMDB10368","C02530","Sterols","ns"
"ChoE_09",-0.0218636677279271,-0.306016510877658,0.262289175421804,-0.744608970693145,-0.154589297685317,0.877774582961143,0.947409565139106,-5.48925587674949,-0.0218636677279271,0.877774582961143,0.947409565139106,"PLUS","Sterols","Cholesteryl Ester","ChoE(18:3)","HMDB10370","C02530","Sterols","ns"
"ChoE_11",0.0097278568573128,-0.36530084808967,0.384756561804296,-0.273212218862634,0.052117947796394,0.958645267310706,0.977368807687868,-5.498287355168,0.0097278568573128,0.958645267310706,0.977368807687868,"PLUS","Sterols","Cholesteryl Ester","ChoE(20:3)","HMDB10373",NA,"Sterols","ns"
"ChoE_14",0.255024022202983,-0.0910204966108284,0.601068541016795,-0.255977624336967,1.4806674453634,0.14504142946702,0.479135658938134,-4.58778190028691,0.255024022202983,0.14504142946702,0.479135658938134,"PLUS","Sterols","Cholesteryl Ester","ChoE(22:4)","HMDB06729","C02530","Sterols","ns"
"ChoE_15",0.124411894193239,-0.130568537307817,0.379392325694295,-0.0973160207431447,0.980310065850304,0.331706836819268,0.565852839279928,-5.09413357889929,0.124411894193239,0.331706836819268,0.565852839279928,"PLUS","Sterols","Cholesteryl Ester","ChoE(22:5)","HMDB10375",NA,"Sterols","ns"
"ChoE_18",0.0712048080090281,-0.219657891970842,0.362067507988898,-0.373059556875316,0.491846629890557,0.62500494596042,0.788049714471834,-5.39655802037181,0.0712048080090281,0.62500494596042,0.788049714471834,"PLUS","Sterols","Cholesteryl Ester","ChoE(17:1)",NA,NA,"Sterols","ns"
"CMH_01",0.10641976386308,-0.0965631423091488,0.309402670035309,-0.125381120017229,1.05334645059537,0.297304043340399,0.554259680798887,-5.03229395094683,0.10641976386308,0.297304043340399,0.554259680798887,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/16:0)","HMDB04971","C01190","Sphingolipids","ns"
"CMH_02",0.0859572451877128,-0.191571040619338,0.363485530994764,-0.179013212115226,0.622276852973886,0.536619847985063,0.719819641297951,-5.3350341489532,0.0859572451877128,0.536619847985063,0.719819641297951,"PLUS","Sphingolipids","Monohexosylceramides","CMH(d18:1/22:0)","HMDB04974","C01190","Sphingolipids","ns"
