"Lipid","logFC","CI.L","CI.R","AveExpr","t","P.Value","adj.P.Val","B","log2FC","p_value","adj_p_value","CLASS","SUBCLASS A","Individual_Notation","HMDB","KEGG","SubclassB","cat_volcano"
"Cer_02",0.0424151314678009,-0.089840572413765,0.174670835349367,0.178896737119311,0.636288939203545,0.526045246666052,0.68907549693341,-4.82047593636079,0.0424151314678009,0.526045246666052,0.68907549693341,"Sphingolipids","Ceramides","Cer(d18:1/16:0)","HMDB04949","C00195","Sphingolipids","ns"
"Cer_03",0.108479728214922,-0.108862313105701,0.325821769535544,0.121817200678667,0.990268157432866,0.324438770103135,0.553454372528877,-4.68381165494834,0.108479728214922,0.324438770103135,0.553454372528877,"Sphingolipids","Ceramides","Cer(d18:1/20:0)","HMDB04951","C00195","Sphingolipids","ns"
"Cer_05",0.105400907113063,-0.108023900826987,0.318825715053112,-0.230539281266095,0.979822519865682,0.329543842589858,0.558512616337357,-4.68867569206245,0.105400907113063,0.329543842589858,0.558512616337357,"Sphingolipids","Ceramides","Cer(d18:1/22:0)","HMDB04952","C00195","Sphingolipids","ns"
"Cer_06",0.0911620598259058,-0.142395221847397,0.324719341499208,0.360306568050614,0.774405957350307,0.44052218997481,0.638281206892525,-4.77409447306835,0.0911620598259058,0.44052218997481,0.638281206892525,"Sphingolipids","Ceramides","Cer(40:2)",NA,NA,"Sphingolipids","ns"
"Cer_07",0.169433011185597,-0.0505907458133765,0.38945676818457,-0.397545634870245,1.52783488022705,0.129717939046449,0.384731614671854,-4.36716025584301,0.169433011185597,0.129717939046449,0.384731614671854,"Sphingolipids","Ceramides","Cer(d18:1/23:0)","HMDB00950",NA,"Sphingolipids","ns"
"Cer_09",0.0967155213124001,-0.112282149795654,0.305713192420454,-0.471184977177155,0.918126870548919,0.360766808103565,0.573733026744686,-4.71638134505477,0.0967155213124001,0.360766808103565,0.573733026744686,"Sphingolipids","Ceramides","Cer(d18:1/24:0)","HMDB04956","C00195","Sphingolipids","ns"
"Cer_10_Cer_11",0.103627335272785,-0.0932109355459377,0.300465606091509,-0.131245735039478,1.04451037234044,0.298773619347755,0.534109004450439,-4.65775016093852,0.103627335272785,0.298773619347755,0.534109004450439,"Sphingolipids","Ceramides","Cer(d18:1/24:1)+Cer(d18:2/24:0)",NA,NA,"Sphingolipids","ns"
"Cer_12",0.0177082958453266,-0.207152197316321,0.242568789006974,0.207246183965818,0.156246960514857,0.876154100476813,0.918378394475696,-4.91143937435546,0.0177082958453266,0.876154100476813,0.918378394475696,"Sphingolipids","Ceramides","Cer(42:3)",NA,NA,"Sphingolipids","ns"
"Cer_13",0.142497327820926,-0.0648759428432017,0.349870598485054,0.268132545775987,1.36333288528508,0.175846406635251,0.40259572045439,-4.47768012549602,0.142497327820926,0.175846406635251,0.40259572045439,"Sphingolipids","Ceramides","Cer(d18:1/18:0)","HMDB04950","C00195","Sphingolipids","ns"
"Cer_14",0.195522283915602,-0.0737097299266072,0.464754297757812,1.10228505730528,1.44084588167318,0.152759453297477,0.389159908404715,-4.42707228109591,0.195522283915602,0.152759453297477,0.389159908404715,"Sphingolipids","Ceramides","Cer(43:1)","HMDB04957","C00195","Sphingolipids","ns"
"Cer_15",0.0673926923014805,-0.141706922761892,0.276492307364853,-0.0569338030636255,0.639451397489926,0.523994935177085,0.68907549693341,-4.81951414262158,0.0673926923014805,0.523994935177085,0.68907549693341,"Sphingolipids","Ceramides","Cer(d18:1/25:0)","HMDB04957","C00195","Sphingolipids","ns"
"Cho_01",-0.0123017763271339,-0.0675343613835007,0.042930808729233,-0.0396884836063887,-0.441896359719992,0.659520606133954,0.782431264549827,-4.87052261054634,-0.0123017763271339,0.659520606133954,0.782431264549827,"Sterols","Cholesterol and derivatives","Cholesterol","HMDB00067","C00187","Sterols","ns"
"ChoE_03",0.0269894836160569,-0.103462675616298,0.157441642848412,-0.0704956201027324,0.410479309490242,0.68233461724553,0.805834095480015,-4.87692852754691,0.0269894836160569,0.68233461724553,0.805834095480015,"Sterols","Cholesteryl Ester","ChoE(16:0)","HMDB00885","C11251","Sterols","ns"
"ChoE_04",-0.0831428850904027,-0.303415799748071,0.137130029567265,-0.0374950215402087,-0.748879530205154,0.455691848341822,0.645249350795622,-4.7833397500333,-0.0831428850904027,0.455691848341822,0.645249350795622,"Sterols","Cholesteryl Ester","ChoE(16:1)","HMDB00658","C02530","Sterols","ns"
